guid,make,model,vehicle-type,seller-type,price,zip-code,fuel-type,mileage,year,distance,age,img-url
c6f41ede-e4d0-48a9-958d-fe9aed752971,volvo,s90,c,d,58750,3940,2,6,11-2021,72.49261206065027,392,https://prod.pictures.autoscout24.net/listing-images/c6f41ede-e4d0-48a9-958d-fe9aed752971_3e03350f-ecc1-4ae4-975d-e61f7e57c618.jpg/480x360.jpg
ac3b2902-1e88-4632-b7db-1ff37dd49878,volvo,xc60,c,d,43000,8840,b,17629,01-2019,116.35276756135268,1427,https://prod.pictures.autoscout24.net/listing-images/ac3b2902-1e88-4632-b7db-1ff37dd49878_f6ec952e-a56e-438e-9b1b-b1c2018e222f.jpg/480x360.jpg
4da306cf-af99-4dc3-bb07-9937b6be29a0,volvo,s90,c,d,29995,2870,b,73500,07-2018,48.59068591419226,1611,https://prod.pictures.autoscout24.net/listing-images/4da306cf-af99-4dc3-bb07-9937b6be29a0_e9ab8e4f-6c57-47a1-be06-0897d045ff96.jpg/480x360.jpg
bca3ee53-72cd-4a5c-b9db-92a87929ffd0,volvo,s60,c,d,45895,8610,2,29942,12-2019,114.33371950925998,1093,https://prod.pictures.autoscout24.net/listing-images/bca3ee53-72cd-4a5c-b9db-92a87929ffd0_27e362c7-6500-412f-8d0e-e5165c1731fb.jpg/480x360.jpg
be45d17b-387a-4700-8447-e24f4d8de3c5,volvo,960,c,d,9999,2940,b,146390,01-1997,16.165618897139176,9462,https://prod.pictures.autoscout24.net/listing-images/be45d17b-387a-4700-8447-e24f4d8de3c5_0f891b14-89ec-4926-a785-2f5ccf23c548.jpg/480x360.jpg
32658d34-40f3-470f-ae22-4b67efcf25d1,volvo,xc90,c,d,37900,3545,2,177930,05-2016,69.86186323279148,2402,https://prod.pictures.autoscout24.net/listing-images/32658d34-40f3-470f-ae22-4b67efcf25d1_f832583d-e184-49a9-9ece-3c4dc0193b23.jpg/480x360.jpg
cf193cae-ec74-45a3-8ba4-4df48b401023,volvo,xc60,c,d,25350,3512,d,91000,05-2017,81.96119366050621,2037,https://prod.pictures.autoscout24.net/listing-images/cf193cae-ec74-45a3-8ba4-4df48b401023_e78bc6fa-f570-41fa-a2ec-7c30c8d2a2a3.jpg/480x360.jpg
ee7e20a3-7b22-4187-9a34-db4a0cc582ac,volvo,v40 cross country,c,d,18500,3110,b,36174,08-2017,59.79775666035793,1945,https://prod.pictures.autoscout24.net/listing-images/ee7e20a3-7b22-4187-9a34-db4a0cc582ac_16ceb8ff-f2ab-427a-ae16-4125e7729eed.jpg/480x360.jpg
c059e466-7f01-4d5e-898f-8f8f3c4b81ab,volvo,s40,c,d,7500,3970,b,110000,08-2007,66.88973710098982,5598,https://prod.pictures.autoscout24.net/listing-images/c059e466-7f01-4d5e-898f-8f8f3c4b81ab_f580b656-130e-47f5-931f-de7fbac83ef6.jpg/480x360.jpg
9bbc9c90-12d6-4978-bd50-b7e5450ce8c8,volvo,v40,c,d,11490,1000,d,104314,11-2022,69.17270624549755,27,https://prod.pictures.autoscout24.net/listing-images/9bbc9c90-12d6-4978-bd50-b7e5450ce8c8_b5bb2038-417f-423c-a23a-5ae8e2ddac65.jpg/480x360.jpg
88ad906c-9290-4e84-9b85-0c460f9e2891,volvo,s60,c,d,12490,1000,d,133113,07-2013,69.17270624549755,3437,https://prod.pictures.autoscout24.net/listing-images/88ad906c-9290-4e84-9b85-0c460f9e2891_2a639a6d-a9b8-4fb7-8606-678ebe523e6f.jpg/480x360.jpg
663bdd1c-9ed8-4d96-b7b9-84c1a852df93,volvo,v60 cross country,c,d,29850,3940,d,44667,09-2018,72.49261206065027,1549,https://prod.pictures.autoscout24.net/listing-images/663bdd1c-9ed8-4d96-b7b9-84c1a852df93_f61cb008-2dda-44ed-951a-6deb2bcb9e36.jpg/480x360.jpg
7913725c-d0e5-4449-bfc5-ab1cdc455c94,volvo,s90,c,d,33499,1930,d,55682,01-2019,65.18883147641638,1427,https://prod.pictures.autoscout24.net/listing-images/7913725c-d0e5-4449-bfc5-ab1cdc455c94_fa523111-d76d-488c-aa63-f9accf5335c1.jpg/480x360.jpg
a59f34a9-8014-46d6-ac60-98f944f58aab,volvo,xc60,c,d,68900,2800,2,15500,12-2021,49.170515286575046,362,https://prod.pictures.autoscout24.net/listing-images/a59f34a9-8014-46d6-ac60-98f944f58aab_a9188c48-c911-4922-9cb7-c4e87d9fb08f.jpg/480x360.jpg
5cf6f61c-6950-4717-98ca-e34a1f15685c,volvo,s60,c,d,38550,2070,2,28747,06-2021,30.80136628106094,545,https://prod.pictures.autoscout24.net/listing-images/5cf6f61c-6950-4717-98ca-e34a1f15685c_6ee27a00-a9e6-4e65-867c-c94814830489.jpg/480x360.jpg
132c29e9-4d0a-450c-8bf7-56f36e26ba68,volvo,xc90,c,d,50999,1300,d,16884,07-2019,83.88957347991013,1246,https://prod.pictures.autoscout24.net/listing-images/132c29e9-4d0a-450c-8bf7-56f36e26ba68_3aa791eb-c0f1-4acf-8719-99f7b5a293ee.jpg/480x360.jpg
fe93bdf7-5825-4a67-bd6e-cfd528d72354,volvo,v40 cross country,c,d,22999,1651,b,60000,05-2019,78.98056604317188,1307,https://prod.pictures.autoscout24.net/listing-images/fe93bdf7-5825-4a67-bd6e-cfd528d72354_ab479d80-f798-4018-ba3e-f4d5eeaee3ce.jpg/480x360.jpg
a19d3549-285b-4b6d-bccf-2e26cc843ace,volvo,xc40,c,d,29990,3545,b,78444,07-2018,69.86186323279148,1611,https://prod.pictures.autoscout24.net/listing-images/a19d3549-285b-4b6d-bccf-2e26cc843ace_f7750994-c7f9-428a-a9bb-323bc0981c71.jpg/480x360.jpg
26e0b0b0-4d66-400d-9519-4bb43e127d7b,volvo,xc60,c,d,33490,4000,d,37675,03-2019,118.53949006185148,1368,https://prod.pictures.autoscout24.net/listing-images/26e0b0b0-4d66-400d-9519-4bb43e127d7b_891562f8-12f1-42d9-be92-d8290ce2e428.jpg/480x360.jpg
3ceb54db-4484-465c-b13d-813f82bc5047,volvo,xc90,c,d,47999,1930,d,60258,01-2019,65.18883147641638,1427,https://prod.pictures.autoscout24.net/listing-images/3ceb54db-4484-465c-b13d-813f82bc5047_aaf69b53-7a26-49f6-aa5a-d8486dedcb73.jpg/480x360.jpg
8c5fb99d-d6ac-483d-b7f9-16661a0ef539,volvo,v40 cross country,c,d,15990,6970,d,106673,04-2018,169.87153563896285,1702,https://prod.pictures.autoscout24.net/listing-images/8c5fb99d-d6ac-483d-b7f9-16661a0ef539_a9b0c455-46b9-4e1e-9c0e-4121cc779a08.jpg/480x360.jpg
1e2ff307-9426-48b8-9f26-fdf3da5b6d4f,volvo,v90,c,d,40995,8610,2,84586,07-2017,114.33371950925998,1976,https://prod.pictures.autoscout24.net/listing-images/1e2ff307-9426-48b8-9f26-fdf3da5b6d4f_4c4b40ce-c4b9-4fd6-b134-55a6e92dc752.jpg/480x360.jpg
d084ad2f-77f4-4e14-a799-e1ade7472f2f,volvo,xc90,c,d,48990,9810,2,98370,05-2016,80.58546176841949,2402,https://prod.pictures.autoscout24.net/listing-images/d084ad2f-77f4-4e14-a799-e1ade7472f2f_3577212c-245b-4bc5-92b6-5ace3fccdbd1.jpg/480x360.jpg
7ff3fe0f-f243-47cb-a84e-f743ae8c7979,volvo,xc90,c,d,49995,2870,d,79600,10-2019,48.59068591419226,1154,https://prod.pictures.autoscout24.net/listing-images/7ff3fe0f-f243-47cb-a84e-f743ae8c7979_e00fc170-f9c7-429d-8a24-a4ab05043e11.jpg/480x360.jpg
5c1b9cf6-c3db-44ec-b2f1-25c0853ead7b,volvo,xc60,c,d,68900,2800,2,20387,12-2021,49.170515286575046,362,https://prod.pictures.autoscout24.net/listing-images/5c1b9cf6-c3db-44ec-b2f1-25c0853ead7b_f97f8a82-ac9c-46de-af31-da80dacb8c18.jpg/480x360.jpg
1f70ff59-b61d-40d8-9627-b131d13feb33,volvo,v60,c,d,25495,8610,3,96421,01-2017,114.33371950925998,2157,https://prod.pictures.autoscout24.net/listing-images/1f70ff59-b61d-40d8-9627-b131d13feb33_e8b725ae-b12f-47a4-8530-65c5e17d0ea5.jpg/480x360.jpg
e5c52e7f-c99d-4e0a-bd51-cbcee635334c,volvo,xc40,c,d,49990,2800,2,21615,01-2021,49.170515286575046,696,https://prod.pictures.autoscout24.net/listing-images/e5c52e7f-c99d-4e0a-bd51-cbcee635334c_0fc9245a-9e2b-47e3-b7fd-caa8e9af5ec5.jpg/480x360.jpg
7671c982-0ac4-4b12-b72d-2ae240e87426,volvo,s60,c,d,53750,3294,2,23802,06-2021,63.99388780183349,545,https://prod.pictures.autoscout24.net/listing-images/7671c982-0ac4-4b12-b72d-2ae240e87426_4039644f-de8b-4561-aef9-e077062e37b9.jpg/480x360.jpg
ab3fa382-c6dc-4f70-89fb-85e55fba2bdf,volvo,xc90,c,d,30550,1000,d,114270,09-2016,69.17270624549755,2279,https://prod.pictures.autoscout24.net/listing-images/ab3fa382-c6dc-4f70-89fb-85e55fba2bdf_8f8d8dab-16da-4a66-8edd-33418e3d302d.jpg/480x360.jpg
94ff4d69-5f0d-41a3-b527-1fef65a81abb,volvo,v60,c,d,24490,4000,d,110138,11-2018,118.53949006185148,1488,https://prod.pictures.autoscout24.net/listing-images/94ff4d69-5f0d-41a3-b527-1fef65a81abb_bfc83e0e-f3c7-4b7b-938c-831ec2c08462.jpg/480x360.jpg
e64483db-4bd9-41c2-9a58-768558aced0e,volvo,v60,c,d,40990,2800,d,12349,05-2022,49.170515286575046,211,https://prod.pictures.autoscout24.net/listing-images/e64483db-4bd9-41c2-9a58-768558aced0e_9362cfc8-9aa8-4840-bdc2-4dc92158fa67.jpg/480x360.jpg
d8c4347b-b396-451c-94ff-6daa95911c0f,volvo,s90,c,d,45900,1840,2,68135,07-2019,54.29299877782283,1246,https://prod.pictures.autoscout24.net/listing-images/d8c4347b-b396-451c-94ff-6daa95911c0f_e2bb9703-2017-4675-98f7-43a8fca712f2.jpg/480x360.jpg
1253b210-c595-48ef-98da-44481af3a8ae,volvo,v90,c,d,70100,1930,2,17500,01-2022,65.18883147641638,331,https://prod.pictures.autoscout24.net/listing-images/1253b210-c595-48ef-98da-44481af3a8ae_c3cf6c97-91ff-4919-a5a5-96c8b1275db5.jpg/480x360.jpg
4dd3d740-0287-443f-868b-bdbe474cd239,volvo,v60,c,d,59999,1300,2,7411,05-2022,83.88957347991013,211,https://prod.pictures.autoscout24.net/listing-images/4dd3d740-0287-443f-868b-bdbe474cd239_4f42f382-be9c-40de-b27e-495320a325b5.jpg/480x360.jpg
4f0ea9ab-4216-4661-92d7-43a1189084a8,volvo,xc60,c,d,68900,2800,2,10987,09-2021,49.170515286575046,453,https://prod.pictures.autoscout24.net/listing-images/4f0ea9ab-4216-4661-92d7-43a1189084a8_a4458a10-1648-413a-8815-be0108ddf812.jpg/480x360.jpg
eea791b0-1e93-42fe-a510-b59e0c85b77e,volvo,xc60,c,d,64900,3294,2,11416,12-2021,63.99388780183349,362,https://prod.pictures.autoscout24.net/listing-images/eea791b0-1e93-42fe-a510-b59e0c85b77e_fc3c41ef-18de-4789-a388-bfc94ea75220.jpg/480x360.jpg
9bc08d79-00df-445d-8f90-c3475753f118,volvo,xc60,c,d,36999,3960,b,64138,11-2017,88.39034768583157,1853,https://prod.pictures.autoscout24.net/listing-images/9bc08d79-00df-445d-8f90-c3475753f118_52c1a35f-a701-4a31-9f33-eb658e4e43ed.jpg/480x360.jpg
53e54ff9-665d-48ec-a69c-81459e308563,volvo,xc40,c,d,45800,1000,2,25436,10-2020,69.17270624549755,788,https://prod.pictures.autoscout24.net/listing-images/53e54ff9-665d-48ec-a69c-81459e308563_7b937749-af40-447e-9bbe-6af9875fe614.jpg/480x360.jpg
5f9e9dc2-070a-4c35-8024-04dfb7dae7f6,volvo,xc90,c,d,76599,1930,3,5302,06-2022,65.18883147641638,180,https://prod.pictures.autoscout24.net/listing-images/5f9e9dc2-070a-4c35-8024-04dfb7dae7f6_f73a0f2f-8b4d-4e9c-84b7-961f06638eb5.jpg/480x360.jpg
630ddade-1dd6-4178-9dab-33a3b996d82a,volvo,xc60,c,d,36250,3940,d,77614,05-2018,72.49261206065027,1672,https://prod.pictures.autoscout24.net/listing-images/630ddade-1dd6-4178-9dab-33a3b996d82a_5e5d81e9-5dad-4cb5-ad61-1c088994a10e.jpg/480x360.jpg
a6856f72-8355-438a-bd7b-4b22f050c071,volvo,xc40,c,d,34900,3940,d,97373,01-2018,72.49261206065027,1792,https://prod.pictures.autoscout24.net/listing-images/a6856f72-8355-438a-bd7b-4b22f050c071_b74006a7-b87f-455d-8899-419987dcef04.jpg/480x360.jpg
717ea56f-b69c-4251-817b-e546455455b9,volvo,xc40,c,d,36499,1930,2,44518,06-2021,65.18883147641638,545,https://prod.pictures.autoscout24.net/listing-images/717ea56f-b69c-4251-817b-e546455455b9_56f1a010-5c89-41ee-b0a3-fdf05cdb7172.jpg/480x360.jpg
1ed0575f-0106-4e64-a439-8be8cbe161b8,volvo,v40,c,d,14950,1070,d,107499,01-2018,71.06367211068877,1792,https://prod.pictures.autoscout24.net/listing-images/1ed0575f-0106-4e64-a439-8be8cbe161b8_52054fa2-4560-43e1-979f-5bdd4df5cfd0.jpg/480x360.jpg
1599a7e1-3a71-48f7-843a-fed893bae7f0,volvo,xc40,c,d,27490,4000,b,84831,09-2019,118.53949006185148,1184,https://prod.pictures.autoscout24.net/listing-images/1599a7e1-3a71-48f7-843a-fed893bae7f0_a30f2206-3e31-4d89-8878-4afa062fdbb5.jpg/480x360.jpg
29563a9d-aa0e-4b0b-bf87-df7b90d6c9b5,volvo,v90 cross country,c,d,40850,3294,b,51843,10-2018,63.99388780183349,1519,https://prod.pictures.autoscout24.net/listing-images/29563a9d-aa0e-4b0b-bf87-df7b90d6c9b5_2ce138e4-2834-4d49-8a26-0571aefcc14e.jpg/480x360.jpg
db6b1b1d-ab4e-4546-8759-81cbbf38a8b6,volvo,xc40,c,d,32000,1930,d,34579,01-2021,65.18883147641638,696,https://prod.pictures.autoscout24.net/listing-images/db6b1b1d-ab4e-4546-8759-81cbbf38a8b6_8737d6ff-2321-4f97-bc5a-f43524724603.jpg/480x360.jpg
85d33cfb-6190-44f1-8851-eccf2fb63368,volvo,v60,c,d,37499,1300,3,46500,01-2021,83.88957347991013,696,https://prod.pictures.autoscout24.net/listing-images/85d33cfb-6190-44f1-8851-eccf2fb63368_67b0954e-c8b8-4f8d-9a8d-a1eab97e4f9d.jpg/480x360.jpg
edb6d3be-3b66-4a58-ba25-49a17e79126f,volvo,v60,c,d,16999,1930,d,87516,04-2016,65.18883147641638,2432,https://prod.pictures.autoscout24.net/listing-images/edb6d3be-3b66-4a58-ba25-49a17e79126f_8563a51a-9dc0-44be-90cd-7895348759e6.jpg/480x360.jpg
b94f29aa-ce96-4dd6-aa78-ff59e5f6796e,volvo,xc90,c,d,28990,9810,d,175340,10-2016,80.58546176841949,2249,https://prod.pictures.autoscout24.net/listing-images/b94f29aa-ce96-4dd6-aa78-ff59e5f6796e_9278e463-ba52-456d-80e9-d888c8294dff.jpg/480x360.jpg
e141602b-2f57-4ff0-ad1d-63e9c24fddd2,volvo,xc40,c,d,34750,1930,d,48362,04-2021,65.18883147641638,606,https://prod.pictures.autoscout24.net/listing-images/e141602b-2f57-4ff0-ad1d-63e9c24fddd2_913f1356-426d-4634-9966-f61a69e7812d.jpg/480x360.jpg
c7c7b2af-9317-481d-96e9-b334d21b0ec5,volvo,v40,c,d,17990,4000,b,51873,01-2019,118.53949006185148,1427,https://prod.pictures.autoscout24.net/listing-images/c7c7b2af-9317-481d-96e9-b334d21b0ec5_b09279e0-6e93-499c-8fc7-60ad41eb1013.jpg/480x360.jpg
6ec6dedd-f2c7-4d95-9f37-b1375e57f778,volvo,xc40,c,d,52900,3294,2,2069,11-2021,63.99388780183349,392,https://prod.pictures.autoscout24.net/listing-images/6ec6dedd-f2c7-4d95-9f37-b1375e57f778_e552aa34-9cc9-4b4b-a1ca-970287550f0f.jpg/480x360.jpg
2b87324b-0ad3-4c95-aa8e-b427b8bf0f68,volvo,xc90,c,d,44495,2830,b,90000,08-2018,45.04397020411872,1580,https://prod.pictures.autoscout24.net/listing-images/2b87324b-0ad3-4c95-aa8e-b427b8bf0f68_8f3117b1-67b0-4059-84e9-b0d35020f79e.jpg/480x360.jpg
d0dfa548-228a-4e61-841d-5597cfbb2e28,volvo,xc40,c,d,26490,2630,b,78025,05-2019,37.55427282853161,1307,https://prod.pictures.autoscout24.net/listing-images/d0dfa548-228a-4e61-841d-5597cfbb2e28_22f8c8c8-3cb5-420d-9352-e23cf43ad9b0.jpg/480x360.jpg
64dd2384-3e9f-4a1b-8728-b293b411add6,volvo,s60,c,d,38999,1930,2,17686,11-2020,65.18883147641638,757,https://prod.pictures.autoscout24.net/listing-images/64dd2384-3e9f-4a1b-8728-b293b411add6_277613e5-cf63-4794-a03b-460085be24c2.jpg/480x360.jpg
87f431a3-280a-444d-8d8d-e36d087ca907,volvo,v60,c,d,22490,4000,d,106312,04-2018,118.53949006185148,1702,https://prod.pictures.autoscout24.net/listing-images/87f431a3-280a-444d-8d8d-e36d087ca907_bff6455b-3e4c-48e3-8fe8-b63bbe48c04d.jpg/480x360.jpg
9449f062-7519-4447-b78c-023f6f526342,volvo,s60,c,d,36999,1160,b,34501,05-2020,72.45305351002509,941,https://prod.pictures.autoscout24.net/listing-images/9449f062-7519-4447-b78c-023f6f526342_6ab5fcc1-09a8-40c4-8140-d3e5004d066e.jpg/480x360.jpg
9f5a5741-0093-411b-b386-acdaec5ebeea,volvo,v40 cross country,c,d,17855,1780,d,82360,03-2019,63.273818071645216,1368,https://prod.pictures.autoscout24.net/listing-images/9f5a5741-0093-411b-b386-acdaec5ebeea_1bd689bb-f7cf-4e51-853c-2dc64b83f16b.jpg/480x360.jpg
04246ce4-5f6e-40f1-94de-32607cdd5a1f,volvo,v60,c,d,37900,9800,d,56044,06-2021,85.43781742981923,545,https://prod.pictures.autoscout24.net/listing-images/04246ce4-5f6e-40f1-94de-32607cdd5a1f_0c4f62d1-ba29-4eb7-940f-32c973c40565.jpg/480x360.jpg
bf8e49b1-89cf-4a93-8ec3-5ad7cdbea916,volvo,v90,c,d,63900,2800,2,2536,12-2021,49.170515286575046,362,https://prod.pictures.autoscout24.net/listing-images/bf8e49b1-89cf-4a93-8ec3-5ad7cdbea916_c2a3680d-19bc-4e9e-bf3a-8398b7706e9e.jpg/480x360.jpg
e305c1be-1542-4688-919c-b05168441f43,volvo,v40,c,d,14990,6180,d,113000,07-2017,111.8460773215552,1976,https://prod.pictures.autoscout24.net/listing-images/e305c1be-1542-4688-919c-b05168441f43_88ae6583-44db-4245-b867-7f83c90ab631.jpg/480x360.jpg
3f59ad46-d14a-433f-951d-e8a50fec34f1,volvo,xc60,c,d,34990,9810,d,84634,06-2018,80.58546176841949,1641,https://prod.pictures.autoscout24.net/listing-images/3f59ad46-d14a-433f-951d-e8a50fec34f1_5e3b16af-8ab6-4693-a0a6-68dd947d2cb9.jpg/480x360.jpg
93cc2ede-5039-4ffd-8be4-a838d26c512b,volvo,xc60,c,d,33800,1000,b,102446,02-2018,69.17270624549755,1761,https://prod.pictures.autoscout24.net/listing-images/93cc2ede-5039-4ffd-8be4-a838d26c512b_5cef2c8c-dfd8-4d73-94c2-e06fc1718604.jpg/480x360.jpg
7ee9f099-82be-4d3b-b140-3532d141c801,volvo,v60,c,d,19900,1000,b,100144,04-2017,69.17270624549755,2067,https://prod.pictures.autoscout24.net/listing-images/7ee9f099-82be-4d3b-b140-3532d141c801_bb3b9437-eae2-4cb4-a39d-801d31019fb2.jpg/480x360.jpg
f8605f9c-c4a5-48f5-857b-ad4cb021be1b,volvo,xc60,c,d,49990,2800,d,6923,03-2022,49.170515286575046,272,https://prod.pictures.autoscout24.net/listing-images/f8605f9c-c4a5-48f5-857b-ad4cb021be1b_8155249f-1a50-40f1-bafa-02dc2f4f61a7.jpg/480x360.jpg
82494825-4563-429e-bc33-c8c4d9062d18,volvo,xc60,c,d,23990,4000,d,64090,04-2017,118.53949006185148,2067,https://prod.pictures.autoscout24.net/listing-images/82494825-4563-429e-bc33-c8c4d9062d18_c92632c3-a4db-4cd5-ac5a-9370fd076796.jpg/480x360.jpg
304464da-7082-4281-a070-a7d536a5eb75,volvo,s60,c,d,10800,1000,d,127450,10-2015,69.17270624549755,2615,https://prod.pictures.autoscout24.net/listing-images/304464da-7082-4281-a070-a7d536a5eb75_ddc00f99-14ab-46cd-a913-ed27d861b202.jpg/480x360.jpg
7d3fa9b5-75cd-4b96-9f74-00f8c32f0e2a,volvo,xc40,c,d,26990,2630,b,75570,04-2019,37.55427282853161,1337,https://prod.pictures.autoscout24.net/listing-images/7d3fa9b5-75cd-4b96-9f74-00f8c32f0e2a_0bae0894-13b7-46f4-bf42-6e671b3e2690.jpg/480x360.jpg
6e9c6c7c-aeb9-4c65-a19d-cc9c9d945059,volvo,xc90,c,d,69900,1982,3,25510,09-2020,54.987372378775355,818,https://prod.pictures.autoscout24.net/listing-images/6e9c6c7c-aeb9-4c65-a19d-cc9c9d945059_6075896d-353b-4c3f-b487-bb420ad7b587.jpg/480x360.jpg
ab93c976-5ddc-49d4-a348-58f7a22e5adf,volvo,v90,c,d,63900,2800,2,6650,11-2021,49.170515286575046,392,https://prod.pictures.autoscout24.net/listing-images/ab93c976-5ddc-49d4-a348-58f7a22e5adf_a42715cd-6c00-41da-9023-bdf670b7aa05.jpg/480x360.jpg
35b6d2e0-259c-4c22-8de0-cff47ee1115a,volvo,xc60,c,d,18990,6970,d,122117,10-2014,169.87153563896285,2980,https://prod.pictures.autoscout24.net/listing-images/35b6d2e0-259c-4c22-8de0-cff47ee1115a_69b9af8c-2c1c-471a-be82-58dc8f9aeec2.jpg/480x360.jpg
d3069e5c-09ef-48e3-ac0c-628b1abe91de,volvo,v90,c,d,45995,8830,3,10,07-2021,110.14495439154433,515,https://prod.pictures.autoscout24.net/listing-images/d3069e5c-09ef-48e3-ac0c-628b1abe91de_b866f45c-fe95-49a4-afff-2ac5fa28ba4b.png/480x360.jpg
0b974bd0-9a83-468b-8b31-0ecc04957cea,volvo,s60,c,d,38495,8830,b,22121,01-2021,110.14495439154433,696,https://prod.pictures.autoscout24.net/listing-images/0b974bd0-9a83-468b-8b31-0ecc04957cea_fee44fa3-ac36-4222-ad62-1bf732f27141.png/480x360.jpg
595c70a2-1204-41c7-8734-3d8ccf085c13,volvo,xc60,c,d,17750,1000,d,136204,11-2013,69.17270624549755,3314,https://prod.pictures.autoscout24.net/listing-images/595c70a2-1204-41c7-8734-3d8ccf085c13_2ae36c34-1f8e-4e58-96e0-bf5511052efe.jpg/480x360.jpg
743ab2e1-b1b4-415a-bf54-9ec8983afab9,volvo,xc60,c,d,25500,1000,d,109494,07-2017,69.17270624549755,1976,https://prod.pictures.autoscout24.net/listing-images/743ab2e1-b1b4-415a-bf54-9ec8983afab9_19954004-eaa9-4d44-a084-2e77f08dac22.jpg/480x360.jpg
7d31cd83-39be-4acc-b2e1-fbf485469d76,volvo,xc60,c,d,49900,1982,2,11953,01-2021,54.987372378775355,696,https://prod.pictures.autoscout24.net/listing-images/7d31cd83-39be-4acc-b2e1-fbf485469d76_bdc4d8df-4bf2-4b2d-9465-da2e57ad7dd7.jpg/480x360.jpg
e498808c-1433-4fb3-a174-6b5010b8886c,volvo,s90,c,d,39950,3940,d,51606,08-2019,72.49261206065027,1215,https://prod.pictures.autoscout24.net/listing-images/e498808c-1433-4fb3-a174-6b5010b8886c_c68e78fe-e746-4ee3-9ba3-c83d75dec8b7.jpg/480x360.jpg
2408af6c-8ab1-43cf-9119-6602ec0fd451,volvo,xc60,c,d,22490,4000,d,72172,03-2017,118.53949006185148,2098,https://prod.pictures.autoscout24.net/listing-images/2408af6c-8ab1-43cf-9119-6602ec0fd451_efcb04f0-6a4f-4384-acda-7b058ad73629.jpg/480x360.jpg
049ab767-408a-41b8-a33d-ef6b9a5c06c9,volvo,xc60,c,d,38999,1930,d,47610,01-2020,65.18883147641638,1062,https://prod.pictures.autoscout24.net/listing-images/049ab767-408a-41b8-a33d-ef6b9a5c06c9_f4996531-4742-4da2-b581-71a0e0092526.jpg/480x360.jpg
90370ec1-143b-4452-ba15-cf01659ec4db,volvo,xc90,c,d,66900,2800,d,36642,05-2021,49.170515286575046,576,https://prod.pictures.autoscout24.net/listing-images/90370ec1-143b-4452-ba15-cf01659ec4db_de2208df-a287-4331-8ca0-95f8235fe5c4.jpg/480x360.jpg
69229dbf-b36e-43d3-b44a-e5d311f51373,volvo,v60,c,d,21300,1000,b,78846,05-2018,69.17270624549755,1672,https://prod.pictures.autoscout24.net/listing-images/69229dbf-b36e-43d3-b44a-e5d311f51373_1d701e4c-c5b0-4558-9ee3-e3ad6afe6481.jpg/480x360.jpg
d3b406a2-117a-480f-9123-594de98f4e81,volvo,xc60,c,d,14990,2550,d,170000,01-2015,37.36039038956695,2888,https://prod.pictures.autoscout24.net/listing-images/d3b406a2-117a-480f-9123-594de98f4e81_d3027d8f-2909-4305-b1e4-aef59564bd50.jpg/480x360.jpg
c63aa8ae-8885-4f35-9342-4556d76e688e,volvo,xc60,c,d,23990,9810,d,81181,11-2015,80.58546176841949,2584,https://prod.pictures.autoscout24.net/listing-images/c63aa8ae-8885-4f35-9342-4556d76e688e_6ef81cca-bd34-46de-98ad-770d8ea9ca6d.jpg/480x360.jpg
f0d3aed5-c86a-4a2d-a26a-cf3de5b2f1d5,volvo,v90,c,d,63750,3940,2,8532,11-2021,72.49261206065027,392,https://prod.pictures.autoscout24.net/listing-images/f0d3aed5-c86a-4a2d-a26a-cf3de5b2f1d5_aabe0dc0-e206-45b4-8587-bf199f3db9ce.jpg/480x360.jpg
cf25bcc8-0e87-49de-8e7b-904cedc8ad24,volvo,xc60,c,d,68900,2800,2,14862,10-2021,49.170515286575046,423,https://prod.pictures.autoscout24.net/listing-images/cf25bcc8-0e87-49de-8e7b-904cedc8ad24_6cb9c28b-1480-4ff8-88c9-ee88de4d82a1.jpg/480x360.jpg
2f0cbeea-ab8a-4874-abd9-f18ace7ca0ba,volvo,xc60,c,d,33890,4000,d,53916,02-2019,118.53949006185148,1396,https://prod.pictures.autoscout24.net/listing-images/2f0cbeea-ab8a-4874-abd9-f18ace7ca0ba_f62be376-bc6f-4f0c-927f-da8546465762.jpg/480x360.jpg
9acb7d50-db5a-4980-a336-a10d603113be,volvo,v90,c,d,29500,3200,d,50229,08-2019,60.911700271925,1215,https://prod.pictures.autoscout24.net/listing-images/9acb7d50-db5a-4980-a336-a10d603113be_d28a4634-c085-4282-94e4-0600566ac7e4.jpg/480x360.jpg
49de60d0-f0c4-41da-acfd-3591bbd1d3e2,volvo,xc40,c,d,38490,4000,b,9863,04-2022,118.53949006185148,241,https://prod.pictures.autoscout24.net/listing-images/49de60d0-f0c4-41da-acfd-3591bbd1d3e2_1b6026a3-403c-4512-b996-f3934b0bec49.jpg/480x360.jpg
680aee2a-213a-4e1b-b354-13520ccc5288,volvo,v60,c,d,41990,2800,b,12361,05-2021,49.170515286575046,576,https://prod.pictures.autoscout24.net/listing-images/680aee2a-213a-4e1b-b354-13520ccc5288_fab06517-da5a-4276-ac05-b4d569bbc882.jpg/480x360.jpg
24f89d92-ffa9-46f9-a123-a8d16eeb6e74,volvo,xc40,c,d,59999,1930,e,12482,02-2022,65.18883147641638,300,https://prod.pictures.autoscout24.net/listing-images/24f89d92-ffa9-46f9-a123-a8d16eeb6e74_ef0df27c-77c6-4564-8b05-4fbb57b9fac6.jpg/480x360.jpg
